Date,Oblast,GID_1,Scheduled_outages,Actual_outages,Subqueues,Emergency?
31.01.2026,Cherkasy,UKR.1_1,15.333333333333334,7.166666666666667,"3.2, 6.1",
31.01.2026,Dnipro,UKR.5_1,16.75,12.0,"5., 5.2",
31.01.2026,Ivano-Frankivsk,UKR.7_1,2.5,0.75,"3.2, 5.2",
31.01.2026,Kharkiv,UKR.8_1,16.5,2.0,6.2,
31.01.2026,Khmelnytskyi,UKR.10_1,15.5,1.25,"1.2, 6.2",
31.01.2026,Kyiv City,UKR.11_1,14.5,4.0,6.1,
31.01.2026,Kyiv Oblast,UKR.12_1,15.0,9.5,1.2,
31.01.2026,Lviv,UKR.14_1,1.0,2.75,"1.1, 6.1",
31.01.2026,Odesa,UKR.17_1,7.0,7.0,"4.2, 6.1",
31.01.2026,Poltava,UKR.18_1,13.0,17.5,1.1,
31.01.2026,Rivne,UKR.19_1,1.5,3.5,"2.1, 3.2",
31.01.2026,Vinnytsia,UKR.24_1,5.0,9.75,"1.2, 6.2",
31.01.2026,Volyn,UKR.25_1,0.0,2.5,6.2,
31.01.2026,Zakarpattia,UKR.23_1,2.75,3.0,"5.2, 6.1",
31.01.2026,Zhytomyr,UKR.27_1,7.25,0.75,"2.2, 5.2",
01.02.2026,Cherkasy,UKR.1_1,15.25,7.5,"3.2, 6.1",
01.02.2026,Dnipro,UKR.5_1,15.25,12.25,"5.1, 5.2",
01.02.2026,Ivano-Frankivsk,UKR.7_1,4.0,2.75,"3.2, 5.2",
01.02.2026,Kharkiv,UKR.8_1,8.5,12.0,"3.2, 6.2",
01.02.2026,Khmelnytskyi,UKR.10_1,14.5,3.0,"1.2, 6.2",
01.02.2026,Kyiv City,UKR.11_1,16.25,7.25,"5., 6.1",
01.02.2026,Kyiv Oblast,UKR.12_1,13.75,13.25,"1.1, 2.2",
01.02.2026,Lviv,UKR.14_1,3.5,3.5,"1.1, 6.1",
01.02.2026,Odesa,UKR.17_1,13.25,5.5,"4.2, 6.1",
01.02.2026,Poltava,UKR.18_1,13.0,12.25,"1.1, 2.2",
01.02.2026,Rivne,UKR.19_1,6.0,0.0,"2.1, 3.2",
01.02.2026,Vinnytsia,UKR.24_1,5.5,10.0,"1.2, 6.2",
01.02.2026,Volyn,UKR.25_1,6.5,6.5,6.2,
01.02.2026,Zakarpattia,UKR.23_1,4.25,1.0,"5.2, 6.1",
01.02.2026,Zhytomyr,UKR.27_1,8.0,0.0,"2.2, 5.2",
02.02.2026,Cherkasy,UKR.1_1,13.75,9.75,"3.2, 6.1",
02.02.2026,Dnipro,UKR.5_1,15.0,20.5,"5.1, 5.2",5.1
02.02.2026,Ivano-Frankivsk,UKR.7_1,1.5,0.5,"3.2, 5.2",
02.02.2026,Kharkiv,UKR.8_1,15.5,7.0,"3.2, 6.2",3.2
02.02.2026,Khmelnytskyi,UKR.10_1,14.0,0.0,"1.2, 6.2",
02.02.2026,Kyiv City,UKR.11_1,15.5,5.5,"5.1, 6.1",
02.02.2026,Kyiv Oblast,UKR.12_1,12.5,10.25,"1.1, 2.2",
