fid,GID_0,COUNTRY,GID_1,NAME_1,VARNAME_1
"3356",UKR,Ukraine,UKR.11_1,Kyiv City,Kyiv City
"3357",UKR,Ukraine,UKR.1_1,Cherkasy,Cherkas'ka Oblast'|Cherkasskaya
"3358",UKR,Ukraine,UKR.2_1,Chernihiv,Chernigov|Tschernigow
"3359",UKR,Ukraine,UKR.3_1,Chernivtsi,Chernivets'ka Oblast'|Chernovits
"3360",UKR,Ukraine,UKR.4_1,Crimea,Crimée|Criméia|Krim|Krymskaya Re
"3361",UKR,Ukraine,UKR.5_1,Dnipropetrovs'k,Dnipropetrovsk|Dniepropietrovsk|
"3362",UKR,Ukraine,UKR.6_1,Donets'k,Donetsk|Donetskaya Oblast'|Donez
"3363",UKR,Ukraine,UKR.7_1,Ivano-Frankivs'k,Ivano-Frankovsk|Ivano-Frankovska
"3364",UKR,Ukraine,UKR.8_1,Kharkiv,Charkow|Jarkov|Karkov|Khar'kov
"3365",UKR,Ukraine,UKR.9_1,Kherson,Cherson|Khersons'ka Oblast'
"3366",UKR,Ukraine,UKR.10_1,Khmel'nyts'kyy,Khmelnitsky|Khmelnytskyi|Chmelni
"3367",UKR,Ukraine,UKR.12_1,Kiev,Kiev Oblast|Kiew|Kijew|Kiiv|Kije
"3369",UKR,Ukraine,UKR.13_1,Kirovohrad,Kirovograd|Kirovogradskaya Oblas
"3370",UKR,Ukraine,UKR.14_1,L'viv,Lemberg|Llvov|L'vov|Lwow|L'vivs'
"3371",UKR,Ukraine,UKR.15_1,Luhans'k,Luhansk|Lugansk|Luhans'ka Oblast
"3372",UKR,Ukraine,UKR.16_1,Mykolayiv,Mykolaiv|Nikolajew|Nikolayev
"3373",UKR,Ukraine,UKR.17_1,Odessa,Odesa|Odes'ka Oblast'|Odesskaya
"3374",UKR,Ukraine,UKR.18_1,Poltava,NA
"3375",UKR,Ukraine,UKR.19_1,Rivne,Rovno|Rivnens'ka Oblast'|Rovensk
"3376",UKR,Ukraine,UKR.20_1,Sevastopol',Sebastopol|Aqyar
"3377",UKR,Ukraine,UKR.21_1,Sumy,NA
"3378",UKR,Ukraine,UKR.22_1,Ternopil',Ternopol|Ternopol'
"3379",UKR,Ukraine,UKR.24_1,Vinnytsya,Vinnytsia|Vinnitskaya Oblast'|Vi
"3380",UKR,Ukraine,UKR.25_1,Volyn,Volhynia|Volyns'ka Oblast'|Volyn
"3381",UKR,Ukraine,UKR.23_1,Zakarpattia,Transcarpathia|Ruthenia|Zakarpat
"3382",UKR,Ukraine,UKR.26_1,Zaporizhia,Zaporizhzhya|Saporoshje|Zaporizh
"3383",UKR,Ukraine,UKR.27_1,Zhytomyr,Zhitomir|Jitomir|Shitomir|Zhitom
